comarca,serventia,ano_ref,Distribuidos_ano,Baixados_ano,Pendentes_ano,Taxa_Cong_anual (%)
ABADIÂNIA,Vara Judicial,2025,1940,2270,2783,55.08
ALEXÂNIA,Vara Judicial,2025,3827,5112,5964,53.85
ALVORADA DO NORTE,Vara Judicial,2025,2170,2501,4272,63.07
ANÁPOLIS,1ª Vara Criminal,2025,1035,1756,2198,55.59
ANÁPOLIS,1ª Vara Cível,2025,2369,2061,4857,70.21
ANÁPOLIS,1º Juizado Especial Criminal,2025,1154,1376,1584,53.51
ANÁPOLIS,1º Juizado Especial Cível,2025,4470,5575,2010,26.5
ANÁPOLIS,2ª Vara Criminal,2025,1031,1546,1710,52.52
ANÁPOLIS,2ª Vara Cível,2025,2367,2051,4443,68.42
ANÁPOLIS,2º Juizado Especial Cível,2025,4450,5070,3045,37.52
ANÁPOLIS,3ª Vara Criminal,2025,1014,1480,1648,52.69
ANÁPOLIS,3ª Vara Cível,2025,2360,2826,4279,60.23
ANÁPOLIS,3º Juizado Especial Cível,2025,4442,5108,1734,25.34
ANÁPOLIS,4ª Vara Criminal (Presidência do Tribunal do Juri e execuções penais),2025,1956,3202,5020,61.06
ANÁPOLIS,4ª Vara Cível,2025,2365,2134,4555,68.1
ANÁPOLIS,4º CEJUSC REGIONAL VIRTUAL DO INTERIOR,2025,857,853,166,16.29
ANÁPOLIS,4º Juizado Especial Cível,2025,4443,4686,2332,33.23
ANÁPOLIS,5ª Vara Criminal,2025,980,1608,2176,57.51
ANÁPOLIS,5ª Vara Cível,2025,2389,2149,4226,66.29
ANÁPOLIS,6ª Vara Cível,2025,2367,2096,3908,65.09
ANÁPOLIS,Juizado da Infância e da Juventude,2025,1092,1309,837,39.0
ANÁPOLIS,Juizado de Violência Doméstica e Familiar Contra a Mulher,2025,3252,3650,2899,44.27
ANÁPOLIS,Vara Regional de Execução Penal,2025,6,0,6,100.0
ANÁPOLIS,"Vara da Faz. Púb. Mun.,de Reg. Púb., e Amb.",2025,1370,56764,9951,14.92
ANÁPOLIS,Vara da Fazenda Pública Estadual ,2025,1939,5001,4206,45.68
APARECIDA DE GOIÂNIA,1ª Vara Criminal,2025,1167,1522,1450,48.79
APARECIDA DE GOIÂNIA,1ª Vara Cível,2025,3221,3329,6312,65.47
APARECIDA DE GOIÂNIA,1ª Vara de Família e Sucessões,2025,2500,2880,2644,47.86
APARECIDA DE GOIÂNIA,1º CEJUSC REGIONAL VIRTUAL DO INTERIOR,2025,1313,1397,76,5.16
APARECIDA DE GOIÂNIA,1º Juizado Especial Criminal,2025,1009,1598,837,34.37
APARECIDA DE GOIÂNIA,1º Juizado Especial Cível,2025,3695,3958,2233,36.07
APARECIDA DE GOIÂNIA,2ª Vara Criminal,2025,1215,1650,1538,48.24
APARECIDA DE GOIÂNIA,"2ª Vara Criminal dos Crimes Dolosos contra a Vida, Tribunal do Júri e Execuções Penais (restritivas de direito, alternativas e de multa)",2025,1404,888,2793,75.88
APARECIDA DE GOIÂNIA,2ª Vara Cível,2025,3185,2170,6682,75.49
APARECIDA DE GOIÂNIA,2ª Vara de Família e Sucessões,2025,2563,2747,2715,49.71
APARECIDA DE GOIÂNIA,2º Juizado Especial Cível,2025,3707,4274,3104,42.07
APARECIDA DE GOIÂNIA,2º Juizado de Violência Doméstica e Familiar contra a Mulher,2025,2226,2547,1754,40.78
APARECIDA DE GOIÂNIA,3ª Vara Criminal,2025,1202,1618,1426,46.85
APARECIDA DE GOIÂNIA,3ª Vara Cível,2025,3163,3470,7095,67.16
APARECIDA DE GOIÂNIA,3ª Vara de Família e Sucessões,2025,2521,2833,2672,48.54
APARECIDA DE GOIÂNIA,3º CENTRO JUDICIÁRIO DE SOLUÇÃO DE CONFLITOS E CIDADANIA,2025,1,14,1,6.67
APARECIDA DE GOIÂNIA,3º Juizado Especial Cível,2025,3709,5413,3350,38.23
APARECIDA DE GOIÂNIA,4ª Vara Criminal,2025,1197,1388,2081,59.99
APARECIDA DE GOIÂNIA,4ª Vara Cível,2025,3223,2961,7181,70.8
APARECIDA DE GOIÂNIA,5ª Vara Cível,2025,3194,2995,6334,67.9
APARECIDA DE GOIÂNIA,6ª Vara Cível,2025,3118,2826,6693,70.31
APARECIDA DE GOIÂNIA,Juizado da Infância e da Juventude,2025,1235,1537,807,34.43
APARECIDA DE GOIÂNIA,"Vara da Fazenda Púb. Municipal, de Reg. Púb. e Ambiental",2025,1853,5683,16722,74.64
APARECIDA DE GOIÂNIA,Vara da Fazenda Pública Estadual,2025,7181,11264,4645,29.2
ARAGARÇAS,"1ª Vara Judicial (Família e Sucessões, Infância e Juventude, Cível e Juizado Especial Cível)",2025,1600,1852,2661,58.96
